,"TY KU"," TY KU /taɪkuː/ is an American alcoholic beverage company that specializes in sake and other spirits. The privately-held company was founded in 2004 and is headquartered in New York City New York. While based in New York TY KU's beverages are made in Japan through a joint venture with two sake breweries. Since 2011 TY KU's growth has extended its products into all 50 states."
1,"Slumberland Furniture"," Slumberland Furniture Inc. is a furniture retailer in the Midwestern United States founded in 1967. Originally the company specialized in mattresses and La-Z-Boy recliners. Today Slumberland has 127 stores in 12 states. It is one of America's top sellers of La-Z-Boy upholstery and the top seller of Sealy and Simmons in the Midwest.[citation needed] The headquarters are located in Little Canada Minnesota."
1,"Outboard Marine Corporation"," Outboard Marine Corporation (OMC) was a maker of Evinrude and Johnson boat motors and many different brands of boats. Evinrude began in Milwaukee Wisconsin in 1907. OMC was based in Waukegan Illinois. They also owned several lines of boats such as Chris Craft Lowe Boats Princecraft Four Winns SeaSwirl Stratos and Javelin. OMC was also a parent company to Ryan which made lawn mowers.OMC sold 100000 motors in 2000 and had one third of the outboard market."
1,"Moon River Brewing Company"," The Moon River Brewing Company is a brew pub - restaurant bar and brewing facility."
1,"Murfin Music International"," Murfin Music International and Murfin Media are companies run by Muff Murfin and are based at The Old Smithy Studios in Kempsey Worcestershire England.Murfin owns several radio stations in the UK and also hires time at its studios to produce jingles for radio. Murfin with his then music partner Colin Owen were billed as the M and O Band and reached #16 in the UK Singles Chart in March 1976 with Let's Do the Latin Hustle."
1,"Avista"," Avista Utilities is a U.S. energy company. Avista generates and transmits electricity and distributes natural gas while providing energy solutions for residential commercial and industrial customers. Approximately 1550[citation needed] employees provides electricity natural gas and other energy services to 359000 electric and 320000 natural gas customers[citation needed] in three western states."
1,"Korchma Taras Bulba"," Korchma Taras Bulba – the chain of restaurants which was developed by Juriy Beloivan in 1999."
1,"Arçelik"," Arçelik A.Ş. is a household appliances manufacturer in Turkey. The Company engages in the production and marketing of durable goods components consumer electronics and after-sale services. Its products include white goods electronic products small home appliances and kitchen accessories such as refrigerators freezers washing machines dishwashers aspirators vacuum cleaners coffee makers and blenders.Arçelik A.Ş."
1,"Ace of Clubs Records"," Ace of Clubs was owned by Decca Records in the UK and was used to reissue classical music in LP form from their back catalogue at a reduced price. Decca also owned Ace of Hearts Records which did exactly the same job but with US material."
1,"Aerostar"," Aerostar S.A. is an aeronautical manufacturing company based in Bacău Romania."
1,"Shandong Gaosu Group"," Shandong Gaosu Group or Shandong Hi-Speed Group Corporation (Chinese: 山东高速集团有限公司) (SDHS) is a state-owned enterprise in Jinan China engaging in the construction and management of transportation infrastructure throughout the People's Republic of China. SDHS is owned by the Shandong Provincial People's Government and plays a major role developing and managing highways airports and seaports throughout the province."
1,"Aras Corp"," Aras Corporation is an American developer and publisher of product development software Aras Innovator. The Aras Innovator software is used for product lifecycle management (PLM) advanced product quality planning (APQP) lean product development product quality control collaborative product development and new product introduction (NPI). Aras Corp was founded in 2000 in Andover Massachusetts."
1,"Lam Research"," Lam Research Corporation is an American corporation that engages in the design manufacture marketing and service of semiconductor processing equipment used in the fabrication of integrated circuits."
1,"Mataano"," Mataano is a women's fashion line. Founded in 2008 it is owned by Somali-American twin fashion designers Ayaan and Idyl Mohallim. The brand is noted for its global sensibility and accent on ready-to-wear elegance."
1,"Delek"," Delek Group is of one Israel's largest companies owned by Yitzhak Tshuva (Isaac Sharon) a self-made multi-millionaire. Delek Group is involved in the energy and infrastructure with investments in upstream and downstream energy water desalination and power plants. Delek Group' subsidiaries are also involved in insurance and financial services."
1,"Elcoteq"," Elcoteq SE was a Finnish consumer electronics contract manufacturer EMS and ODM company headquartered in Luxembourg. The company filed for bankruptcy protection in Luxembourg on October 6 2011.It is a manufacturer of the BlackBerry and also performed repair and refurbishment services."
1,"CSL Behring"," CSL Behring is one of the world's leading plasma protein biotherapeutics companies. Committed to saving lives and improving the quality of life for people with rare and serious diseases the company manufactures a range of plasma-derived and recombinant therapies worldwide."
1,"Pontificia Fonderia Marinelli"," The Pontificia Fonderia Marinelli (or Marinelli Pontifical Foundry Marinelli Bell Foundry) is the successor of a bell foundry already at work in Agnone Italy in 1040. The bell foundry is considered Italy's oldest family business and among the three oldest family businesses worldwide. In addition to a bell foundry it is an artisan foundry that produces bronze portals bas-reliefs church artifacts and bell restorations."
1,"Black Bear Diner"," Black Bear Diner is a restaurant chain in the western United States which serves homestyle and old-fashioned comfort foods. The first restaurant was opened in Mount Shasta California in 1994 founded by Bob and Laurie Manley with help from Bruce Dean. The company is based in Redding California. It now claims 62 locations in eight states.Black Bear decor has a rustic motif with over-the-top bear paraphernalia. Every restaurant is decorated with a 12-foot-tall (3.7 m) black bear carving."
